author,name
https://dblp.org/pid/02/4270,Martha R. Szczur
https://dblp.org/pid/02/4293,Yuval Tamir
https://dblp.org/pid/02/4298,Ronny Ronen
https://dblp.org/pid/02/4337,Tom Rothamel
https://dblp.org/pid/02/4677,Howard Cunningham
https://dblp.org/pid/02/484,Ram Raghunathan
https://dblp.org/pid/02/514,Max E. Jerrell
https://dblp.org/pid/02/5377,Frantisek Plásil
https://dblp.org/pid/02/5502,Gautam Upadhyaya
https://dblp.org/pid/02/5735,Shaunak Pawagi
https://dblp.org/pid/02/5775,Don Marick
https://dblp.org/pid/02/5826,Dmitry Lenkov
https://dblp.org/pid/02/5875,Christina Pavlopoulou
https://dblp.org/pid/02/5887,Eric Wang
https://dblp.org/pid/02/5889-93,Yu Wang
https://dblp.org/pid/02/6095,Matthew Hertz
https://dblp.org/pid/02/6379,Steven S. Muchnick
https://dblp.org/pid/02/6428-5,Yun Zhang
https://dblp.org/pid/02/6854,Bin Ren
https://dblp.org/pid/02/7063,Omri Weisman
https://dblp.org/pid/02/7115,Cody Roux
https://dblp.org/pid/02/8025,Igor Böhm
https://dblp.org/pid/02/9961,Berkeley R. Churchill
https://dblp.org/pid/03/10548,Mukund Raghothaman
https://dblp.org/pid/03/11470,Chiao Hsieh
https://dblp.org/pid/03/11515,Luke Cartey
https://dblp.org/pid/03/1262,Birger Møller-Pedersen
https://dblp.org/pid/03/1336,Annette Bieniusa
https://dblp.org/pid/03/1390,Jiawei Chen
https://dblp.org/pid/03/2122,John Criswell
https://dblp.org/pid/03/2128,Stephen C. Jacobson
https://dblp.org/pid/03/2134,Jie Liu
https://dblp.org/pid/03/2293,Christos Dimoulas
https://dblp.org/pid/03/2298,Richard L. Peskin
https://dblp.org/pid/03/2417,Steven Weiss
https://dblp.org/pid/03/2597,Steve Hartley
https://dblp.org/pid/03/2622,John Hogg
https://dblp.org/pid/03/2760,Sukyoung Ryu
https://dblp.org/pid/03/2809,Wim De Pauw
https://dblp.org/pid/03/3373,Ellis S. Cohen
https://dblp.org/pid/03/352,Xavier Leroy
https://dblp.org/pid/03/3582,Thomas Genet
https://dblp.org/pid/03/3771,Al Anderson
https://dblp.org/pid/03/3836,Guillaume Brat
https://dblp.org/pid/03/3927,Anders Björnerstedt
https://dblp.org/pid/03/4054,Paolo Salvaneschi
https://dblp.org/pid/03/4368,Corina S. Pasareanu
https://dblp.org/pid/03/4431,Daniel Feinberg
https://dblp.org/pid/03/4497,Chuck McParland
https://dblp.org/pid/03/4630,Wen-Mei W. Hwu
https://dblp.org/pid/03/4645,Zheng Gao
https://dblp.org/pid/03/4824,Irina Athanasiu
https://dblp.org/pid/03/4922,Timothy H. Harrison
https://dblp.org/pid/03/5001,Markus Mock
https://dblp.org/pid/03/5118,Charles G. Nelson
https://dblp.org/pid/03/5231,Jan Midtgaard
https://dblp.org/pid/03/5283,Kevin Frei
https://dblp.org/pid/03/5286,Dmitrijs Zaparanuks
https://dblp.org/pid/03/5344,Bertrand Jeannet
https://dblp.org/pid/03/5589,Martin Jourdan
https://dblp.org/pid/03/5860,Alan J. Demers
https://dblp.org/pid/03/6183,Bob Marcus
https://dblp.org/pid/03/630,Pavlos Petoumenos
https://dblp.org/pid/03/6304,Stéphane Lengrand
https://dblp.org/pid/03/6317,Soyeon Park
https://dblp.org/pid/03/6365,Dariusz Biernacki
https://dblp.org/pid/03/6463,Dilma Da Silva
https://dblp.org/pid/03/7058,Benjamin M. Marlin
https://dblp.org/pid/03/7067,Lin Jiang
https://dblp.org/pid/03/7567,Kyungmin Bae
https://dblp.org/pid/03/7746,Arvind K. Sujeeth
https://dblp.org/pid/03/7792,Nicholas Tung
https://dblp.org/pid/03/8334,Ting Cao
https://dblp.org/pid/03/9118,Thanh Tuan Dao
https://dblp.org/pid/03/9537,Long Pham
https://dblp.org/pid/04/10,Tahina Ramananandro
https://dblp.org/pid/04/1063,Phillip Bogle
https://dblp.org/pid/04/11052,Margaret Minsky
https://dblp.org/pid/04/11066,Giuliano Losa
https://dblp.org/pid/04/1120,Carole Le Bellec
https://dblp.org/pid/04/11515,Charisee Chiw
https://dblp.org/pid/04/1286,Hu Chen
https://dblp.org/pid/04/1336,Al Woolfrey
https://dblp.org/pid/04/1368,Catherine Mills Olschanowsky
https://dblp.org/pid/04/1570,Cullen Linn
https://dblp.org/pid/04/1701,Percy Liang
https://dblp.org/pid/04/188,Minoru Terada
https://dblp.org/pid/04/1896,Ran El-Yaniv
https://dblp.org/pid/04/1921,Harold W. Cain
https://dblp.org/pid/04/2005-1,Michael Bauer
https://dblp.org/pid/04/2068,Daniel M. Roy
https://dblp.org/pid/04/2261,Brad Balfour
https://dblp.org/pid/04/2390,Kent L. Beck
https://dblp.org/pid/04/2426,John Leo
https://dblp.org/pid/04/2526,M. Vaughan
https://dblp.org/pid/04/2682,Frank Manola
https://dblp.org/pid/04/2890,Mário Florido
https://dblp.org/pid/04/2904,S. Subramanya Sastry
https://dblp.org/pid/04/304,Mark Williams
https://dblp.org/pid/04/3127,Scott Wallace
https://dblp.org/pid/04/3265,Spyridon Triantafyllis
https://dblp.org/pid/04/3348,Yan Zhang
https://dblp.org/pid/04/3351,Mark Seigle
https://dblp.org/pid/04/3434,Rakesh Ghiya
https://dblp.org/pid/04/3563,Todd Matson
https://dblp.org/pid/04/3799-1,Min Feng
https://dblp.org/pid/04/3994,Geraint Jones
https://dblp.org/pid/04/418,Koushik Sen
https://dblp.org/pid/04/4212,Varmo Vene
https://dblp.org/pid/04/4444,Alan Snyder
https://dblp.org/pid/04/4464,Rohit Chandra
https://dblp.org/pid/04/4498-3,Junjie Chen
https://dblp.org/pid/04/4646-1,Rohit Sinha
https://dblp.org/pid/04/480,Stephen Kell
https://dblp.org/pid/04/4803,Kathi Fisler
https://dblp.org/pid/04/5002,Clayton G. Myers
https://dblp.org/pid/04/5122,Andrew Adams
https://dblp.org/pid/04/5138,Mohammad A. Ketabchi
https://dblp.org/pid/04/5183,Hervé Paulino
https://dblp.org/pid/04/522,James Riely
https://dblp.org/pid/04/5245,Renee E. Borsari
https://dblp.org/pid/04/5425,Gilbert J. Hansen
https://dblp.org/pid/04/5498,Linda Zucconi
https://dblp.org/pid/04/5591,Robert Atkey
https://dblp.org/pid/04/5675,Michael F. Kleyn
https://dblp.org/pid/04/5884,Abhik Roychoudhury
https://dblp.org/pid/04/603,Joseph A. Bank
https://dblp.org/pid/04/616,Oleg Pliss
https://dblp.org/pid/04/6526,Malcolm Dowse
https://dblp.org/pid/04/6893,Jisheng Zhao
https://dblp.org/pid/04/6975,Shu-yu Guo
https://dblp.org/pid/04/7056,Thomas Thüm
https://dblp.org/pid/04/706,Samuel Davis
https://dblp.org/pid/04/7120,Chengnian Sun
https://dblp.org/pid/04/7588,Mathieu Boespflug
https://dblp.org/pid/04/9033,Mark Batty
https://dblp.org/pid/05/10127,Donatella Firmani
https://dblp.org/pid/05/10429,Niki Vazou
https://dblp.org/pid/05/10466,Fatemeh Mohammadi
https://dblp.org/pid/05/10588,Filip Krikava
https://dblp.org/pid/05/10810,Peter-Michael Osera
https://dblp.org/pid/05/10957,Roland Leißa
https://dblp.org/pid/05/11515,Florian Benz
https://dblp.org/pid/05/1292,Sigmund Cherem
https://dblp.org/pid/05/1539-1,Zhi Chen
https://dblp.org/pid/05/1741,Martin Mikelsons
https://dblp.org/pid/05/1744,Virgile Prevosto
https://dblp.org/pid/05/178,Marius Bozga
https://dblp.org/pid/05/2047,Woody Lichtenstein
https://dblp.org/pid/05/2372,Robert Duisberg
https://dblp.org/pid/05/2451,T. Scott Saponas
https://dblp.org/pid/05/2667,Mandana Vaziri
https://dblp.org/pid/05/2961,Lester Mackey
https://dblp.org/pid/05/3176,Jaroslav Sevcík
https://dblp.org/pid/05/3310,Rezaul Alam Chowdhury
https://dblp.org/pid/05/3554,Wolfgang Henhapl
https://dblp.org/pid/05/3695,Walter Binder
https://dblp.org/pid/05/3712,Norman Danner
https://dblp.org/pid/05/3822,Yong-Fong Lee
https://dblp.org/pid/05/3962,Christopher Donawa
https://dblp.org/pid/05/4034,Yanju Chen
https://dblp.org/pid/05/4127,Westley Weimer
https://dblp.org/pid/05/4442,Shin-Cheng Mu
https://dblp.org/pid/05/4510,Vijay S. Pai
https://dblp.org/pid/05/4561,Dav Thomson
https://dblp.org/pid/05/469,Ondrej Lhoták
https://dblp.org/pid/05/4874,Andrew Wagner
https://dblp.org/pid/05/4919,Songfang Huang
https://dblp.org/pid/05/502,Vasanth Balasundaram
https://dblp.org/pid/05/5639,Francesca Levi
https://dblp.org/pid/05/5915,Joseph V. Gresh
https://dblp.org/pid/05/5928,Niall Dalton
https://dblp.org/pid/05/6199,Benjamin Canou
https://dblp.org/pid/05/6335,Scott Johnson
https://dblp.org/pid/05/6486,Mohsen Vakilian
https://dblp.org/pid/05/6576,Robert Muller
https://dblp.org/pid/05/6869,Thomas Ledoux
https://dblp.org/pid/05/6896,Julian A. Padget
https://dblp.org/pid/05/696,Sowmitri Swamy
https://dblp.org/pid/05/7050,Wilmer Ricciotti
https://dblp.org/pid/05/7380,Alessandro Margara
https://dblp.org/pid/05/7730,Maria Christakis
https://dblp.org/pid/05/8630,Nathanael L. Ackerman
https://dblp.org/pid/05/8735,Alexey Solovyev
https://dblp.org/pid/06/0,Ahmed Rezine
https://dblp.org/pid/06/10257,Sameer Kulkarni
https://dblp.org/pid/06/1054,Anthony LaMarca
