id,name,score,rank
https://dblp.org/pid/11/3644,Sorin Lerner,0.001404332027188203,76.0
https://dblp.org/pid/74/185,Peter Sewell,0.0013904358178254783,77.0
https://dblp.org/pid/83/5986,Kathleen Fisher,0.0013753064055559573,78.0
https://dblp.org/pid/r/SriramKRajamani,Sriram K. Rajamani,0.001375166458336348,79.0
https://dblp.org/pid/k/NaokiKobayashi,Naoki Kobayashi,0.001361925060314952,80.0
https://dblp.org/pid/s/OlinShivers,Olin Shivers,0.0013597034945561184,81.0
https://dblp.org/pid/a/AmalAhmed,Amal Ahmed,0.0013481636261012445,82.0
https://dblp.org/pid/m/JEliotBMoss,J. Eliot B. Moss,0.0013449057836830403,83.0
https://dblp.org/pid/h/JohnHughes,John Hughes,0.0013446127403165128,84.0
https://dblp.org/pid/97/6884,Andrzej Filinski,0.0013262705447139754,85.0
https://dblp.org/pid/g/RajivGupta,Rajiv Gupta,0.0013242663025504367,86.0
https://dblp.org/pid/x/HongweiXi,Hongwei Xi,0.0013208923525042668,87.0
https://dblp.org/pid/k/KenKennedy,Ken Kennedy,0.0013194468716854208,88.0
https://dblp.org/pid/29/3650,Nobuko Yoshida,0.0013149670302592302,89.0
https://dblp.org/pid/h/LaurieJHendren,Laurie J. Hendren,0.0013030110549250057,90.0
https://dblp.org/pid/s/VivekSarkar,Vivek Sarkar,0.0012980858896933835,91.0
https://dblp.org/pid/g/ThomasRGross,Thomas R. Gross,0.0012886071701965378,92.0
https://dblp.org/pid/a/SPAmarasinghe,Saman P. Amarasinghe,0.0012761001033340757,93.0
https://dblp.org/pid/b/GEBlelloch,Guy E. Blelloch,0.001273847307433106,94.0
https://dblp.org/pid/99/2941,Trishul M. Chilimbi,0.0012628736138890428,95.0
https://dblp.org/pid/a/MartinAbadi,Martín Abadi,0.0012563491788055285,96.0
https://dblp.org/pid/r/BarbaraGRyder,Barbara G. Ryder,0.0012540598509090273,97.0
https://dblp.org/pid/g/AndrewDGordon,Andrew D. Gordon,0.0012457391641788418,98.0
https://dblp.org/pid/r/NormanRamsey,Norman Ramsey,0.0012417397925106879,99.0
https://dblp.org/pid/v/JanVitek,Jan Vitek,0.0012397346856078103,100.0
https://dblp.org/pid/b/NickBenton,Nick Benton,0.00123812859258267,101.0
https://dblp.org/pid/37/6100,Swarat Chaudhuri,0.0012189278077775981,102.0
https://dblp.org/pid/71/5735,Keshav Pingali,0.001218870799434221,103.0
https://dblp.org/pid/44/3421,Umut A. Acar,0.0012136817936078477,104.0
